grid_id,timestamp,alert_type,current_activity,baseline_activity,reason
4128,2013-11-01 03:00:00,ACTIVITY_DROP,634.4939,1290.7073,Current activity 634.49 is at or below 0.70x the within-day baseline 1290.71.
4128,2013-11-01 04:00:00,ACTIVITY_DROP,573.7572,1290.7073,Current activity 573.76 is at or below 0.70x the within-day baseline 1290.71.
4128,2013-11-01 05:00:00,ACTIVITY_DROP,559.1534,1290.7073,Current activity 559.15 is at or below 0.70x the within-day baseline 1290.71.
4128,2013-11-01 06:00:00,ACTIVITY_DROP,631.8842000000001,1290.7073,Current activity 631.88 is at or below 0.70x the within-day baseline 1290.71.
4128,2013-11-01 07:00:00,ACTIVITY_DROP,781.9259999999999,1290.7073,Current activity 781.93 is at or below 0.70x the within-day baseline 1290.71.
4128,2013-11-01 08:00:00,ACTIVITY_SPIKE,1359.0142999999998,1283.3133999999998,"Activity increased from 781.93 to 1359.01, at least 1.50x the previous hour."
4129,2013-11-01 02:00:00,ACTIVITY_DROP,352.8316,689.0062,Current activity 352.83 is at or below 0.70x the within-day baseline 689.01.
4129,2013-11-01 03:00:00,ACTIVITY_DROP,298.28110000000004,689.0062,Current activity 298.28 is at or below 0.70x the within-day baseline 689.01.
4129,2013-11-01 04:00:00,ACTIVITY_DROP,242.1014,689.0062,Current activity 242.10 is at or below 0.70x the within-day baseline 689.01.
4129,2013-11-01 05:00:00,ACTIVITY_DROP,205.2569,689.0062,Current activity 205.26 is at or below 0.70x the within-day baseline 689.01.
4129,2013-11-01 06:00:00,ACTIVITY_DROP,245.27949999999998,689.0062,Current activity 245.28 is at or below 0.70x the within-day baseline 689.01.
4129,2013-11-01 07:00:00,ACTIVITY_DROP,293.3401,689.0062,Current activity 293.34 is at or below 0.70x the within-day baseline 689.01.
4129,2013-11-01 08:00:00,ACTIVITY_SPIKE,440.5298,689.0062,"Activity increased from 293.34 to 440.53, at least 1.50x the previous hour."
4129,2013-11-01 08:00:00,ACTIVITY_DROP,440.5298,689.0062,Current activity 440.53 is at or below 0.70x the within-day baseline 689.01.
4129,2013-11-01 14:00:00,HIGH_ACTIVITY,1475.0593,666.0683,Current activity 1475.06 is at least 1.50x the within-day baseline 666.07.
4129,2013-11-01 14:00:00,ACTIVITY_SPIKE,1475.0593,666.0683,"Activity increased from 732.88 to 1475.06, at least 1.50x the previous hour."
4129,2013-11-01 17:00:00,HIGH_ACTIVITY,1087.9687,666.0683,Current activity 1087.97 is at least 1.50x the within-day baseline 666.07.
4130,2013-11-01 02:00:00,ACTIVITY_DROP,333.2116,665.0824,Current activity 333.21 is at or below 0.70x the within-day baseline 665.08.
4130,2013-11-01 03:00:00,ACTIVITY_DROP,272.1332,665.0824,Current activity 272.13 is at or below 0.70x the within-day baseline 665.08.
4130,2013-11-01 04:00:00,ACTIVITY_DROP,224.61960000000002,665.0824,Current activity 224.62 is at or below 0.70x the within-day baseline 665.08.
4130,2013-11-01 05:00:00,ACTIVITY_DROP,202.2285,665.0824,Current activity 202.23 is at or below 0.70x the within-day baseline 665.08.
4130,2013-11-01 06:00:00,ACTIVITY_DROP,240.3262,665.0824,Current activity 240.33 is at or below 0.70x the within-day baseline 665.08.
4130,2013-11-01 07:00:00,ACTIVITY_DROP,273.58979999999997,665.0824,Current activity 273.59 is at or below 0.70x the within-day baseline 665.08.
4130,2013-11-01 08:00:00,ACTIVITY_SPIKE,430.2703,665.0824,"Activity increased from 273.59 to 430.27, at least 1.50x the previous hour."
4130,2013-11-01 08:00:00,ACTIVITY_DROP,430.2703,665.0824,Current activity 430.27 is at or below 0.70x the within-day baseline 665.08.
4130,2013-11-01 14:00:00,HIGH_ACTIVITY,1210.7393000000002,623.1741999999999,Current activity 1210.74 is at least 1.50x the within-day baseline 623.17.
4130,2013-11-01 14:00:00,ACTIVITY_SPIKE,1210.7393000000002,623.1741999999999,"Activity increased from 693.25 to 1210.74, at least 1.50x the previous hour."
4130,2013-11-01 17:00:00,HIGH_ACTIVITY,1010.3238999999999,623.1741999999999,Current activity 1010.32 is at least 1.50x the within-day baseline 623.17.
4131,2013-11-01 00:00:00,ACTIVITY_DROP,317.868,490.5335,Current activity 317.87 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 01:00:00,ACTIVITY_DROP,298.45930000000004,490.5335,Current activity 298.46 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 02:00:00,ACTIVITY_DROP,259.3542,490.5335,Current activity 259.35 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 03:00:00,ACTIVITY_DROP,186.7864,490.5335,Current activity 186.79 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 04:00:00,ACTIVITY_DROP,165.139,490.5335,Current activity 165.14 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 05:00:00,ACTIVITY_DROP,180.8442,490.5335,Current activity 180.84 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 06:00:00,ACTIVITY_DROP,206.7029,490.5335,Current activity 206.70 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 07:00:00,ACTIVITY_DROP,211.91500000000002,490.5335,Current activity 211.92 is at or below 0.70x the within-day baseline 490.53.
4131,2013-11-01 08:00:00,ACTIVITY_SPIKE,371.20099999999996,490.5335,"Activity increased from 211.92 to 371.20, at least 1.50x the previous hour."
4131,2013-11-01 17:00:00,HIGH_ACTIVITY,744.5529999999999,475.79280000000006,Current activity 744.55 is at least 1.50x the within-day baseline 475.79.
4132,2013-11-01 02:00:00,ACTIVITY_DROP,232.3957,464.7723,Current activity 232.40 is at or below 0.70x the within-day baseline 464.77.
4132,2013-11-01 03:00:00,ACTIVITY_DROP,200.9823,464.7723,Current activity 200.98 is at or below 0.70x the within-day baseline 464.77.
4132,2013-11-01 04:00:00,ACTIVITY_DROP,223.0328,464.7723,Current activity 223.03 is at or below 0.70x the within-day baseline 464.77.
4132,2013-11-01 05:00:00,ACTIVITY_DROP,203.8945,464.7723,Current activity 203.89 is at or below 0.70x the within-day baseline 464.77.
4132,2013-11-01 06:00:00,ACTIVITY_DROP,201.71529999999998,464.7723,Current activity 201.72 is at or below 0.70x the within-day baseline 464.77.
4132,2013-11-01 07:00:00,ACTIVITY_DROP,219.2235,464.7723,Current activity 219.22 is at or below 0.70x the within-day baseline 464.77.
4132,2013-11-01 08:00:00,ACTIVITY_DROP,323.5485,464.7723,Current activity 323.55 is at or below 0.70x the within-day baseline 464.77.
4133,2013-11-01 02:00:00,ACTIVITY_DROP,279.15450000000004,526.8737,Current activity 279.15 is at or below 0.70x the within-day baseline 526.87.
4133,2013-11-01 03:00:00,ACTIVITY_DROP,251.35070000000002,526.8737,Current activity 251.35 is at or below 0.70x the within-day baseline 526.87.
4133,2013-11-01 04:00:00,ACTIVITY_DROP,309.3375,526.8737,Current activity 309.34 is at or below 0.70x the within-day baseline 526.87.
4133,2013-11-01 05:00:00,ACTIVITY_DROP,262.0984,526.8737,Current activity 262.10 is at or below 0.70x the within-day baseline 526.87.
4133,2013-11-01 06:00:00,ACTIVITY_DROP,237.23049999999998,526.8737,Current activity 237.23 is at or below 0.70x the within-day baseline 526.87.
4133,2013-11-01 07:00:00,ACTIVITY_DROP,264.2613,526.8737,Current activity 264.26 is at or below 0.70x the within-day baseline 526.87.
4133,2013-11-01 23:00:00,ACTIVITY_DROP,346.25350000000003,526.8737,Current activity 346.25 is at or below 0.70x the within-day baseline 526.87.
4134,2013-11-01 02:00:00,ACTIVITY_DROP,193.4855,335.23339999999996,Current activity 193.49 is at or below 0.70x the within-day baseline 335.23.
